date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-09-24,CA_SK,5,0,8,1189,1835,24,1681,149256
2020-09-24,CA_SK_4704,1,0,,,169,1,,
2020-09-24,CA_SK_4706,2,0,,,403,2,,
2020-09-24,CA_SK_4721,0,0,,,352,7,,
2020-09-24,CA_SK_4722,0,0,,,251,6,,
2020-09-24,CA_SK_4723,1,0,,,215,2,,
2020-09-24,CA_SK_4724,1,0,,,445,6,,
2020-09-24,CA_YT,0,0,0,45,15,0,15,3259
2020-09-24,CA_YT_6001,0,0,,,15,0,,
2020-02-24,CN_QH,0,0,0,,18,0,18,
2020-06-18,MY_01,2,1,,,686,2,,
2020-06-18,MY_10,2,-3,,,2006,2,,
2020-09-24,US_CA,3321,76,,73434,801671,15389,,13952857
2020-09-24,US_CA_06059,122,6,,,54023,1182,,
2020-09-09,KR_41,50,0,,,3788,29,,
2020-09-24,US_AZ,568,34,166,10551,215852,5560,34393,1420417
2020-09-24,US_AZ_04013,175,25,,,140584,3329,,
2020-09-24,US_CA_06037,1081,32,,,264414,6455,,
2020-06-18,MY_02,0,0,,,96,1,,
2020-02-24,CN_XZ,0,0,0,,1,0,1,
2020-09-23,MX_SIN,7,0,,,18197,3107,,
2020-09-23,MX_SIN_25006,7,0,,,6895,1032,,
2020-09-25,GB_ENG,65,7,,216636,364280,37240,,216636
2020-09-24,GB_ENG_E06000014,0,,,,1209,,,
2020-09-24,GB_UKE,21,0,,,46400,3660,,
2020-09-14,HK,,,,,,,,1029305
2020-09-25,IN_KL,6477,10,3481,,160934,624,111326,
2020-09-25,ES_AN,0,3,,,53692,1706,,
2020-09-25,ES_AR,0,0,,,22558,1345,,
2020-09-25,ES_AS,0,1,,,4876,343,,
2020-09-25,ES_CB,0,0,,,6484,224,,
2020-09-25,ES_CE,0,0,,,415,10,,
2020-09-25,ES_CL,0,1,,,43644,2994,,
2020-09-25,ES_CM,0,2,,,28760,2987,,
2020-09-25,ES_CN,0,0,7,,12361,221,5794,
2020-09-25,ES_CN_35001,0,0,0,,15,0,3,
2020-09-25,ES_CN_35002,0,0,0,,42,0,19,
2020-09-25,ES_CN_35003,0,0,0,,4,0,3,
2020-09-25,ES_CN_35004,0,0,7,,972,8,788,
2020-09-25,ES_CN_35005,0,0,0,,0,0,0,
2020-09-25,ES_CN_35006,0,0,0,,64,0,19,
2020-09-25,ES_CN_35007,0,0,0,,0,0,0,
